[2025-06-29 09:54:08] [INFO] [receiver_socket] === LOGGER KHỞI TẠO: receiver_socket ===
[2025-06-29 09:54:08] [INFO] [receiver_socket] Log directory: D:\Project\Legal_documment_transfer\logs
[2025-06-29 09:54:08] [INFO] [receiver_socket] Log level: INFO
[2025-06-29 09:54:08] [INFO] [receiver_socket] File logging: True
[2025-06-29 09:54:08] [INFO] [receiver_socket] Console logging: False
[2025-06-29 09:54:12] [INFO] [receiver_socket] Server đang lắng nghe tại 192.168.137.1:8000
[2025-06-29 09:54:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 09:55:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 09:55:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 09:56:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 09:56:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 09:57:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 09:57:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 09:58:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 09:58:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 09:59:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 09:59:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:00:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:00:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:01:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:01:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:02:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:02:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:03:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:03:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:04:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:04:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:05:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:05:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:06:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:06:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:07:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:07:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:08:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:08:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:09:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:09:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:10:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:10:42] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
[2025-06-29 10:11:12] [ERROR] [receiver_socket] Lỗi chấp nhận kết nối: timed out
